	count	mean	std	min	25%	50%	75%	max
code	105.0	2020.6285714285714	820.4883894685819	1002.0	1031.0	2020.0	3011.0	3039.0
erfolg_stolz	105.0	5.347619047619047	1.6395411669413005	1.0	4.5	5.0	6.5	8.0
Niedergeschlagenheit	105.0	2.2	1.3964240043768932	1.0	1.0	2.0	3.0	7.0
Zuneigung	105.0	4.6761904761904765	2.1683707021244096	1.0	3.0	5.0	7.0	8.0
Enttäuschung	105.0	2.4952380952380953	1.6415506829484872	1.0	1.0	2.0	4.0	7.0
froh_freudig	105.0	5.761904761904762	1.310268685920574	1.0	5.0	6.0	7.0	8.0
Peinlichkeit	105.0	2.0476190476190474	1.6135302456042941	1.0	1.0	1.0	2.0	7.0
Wut	105.0	1.5238095238095237	1.0478479603384008	1.0	1.0	1.0	2.0	6.0
Erwartung	105.0	6.161904761904762	1.428580586051235	2.0	5.0	6.0	7.0	9.0
unangenehm vs. angenehm	105.0	6.466666666666667	1.2094711707273194	3.0	6.0	7.0	7.0	9.0
entspannt vs. angespannt	105.0	5.752380952380952	2.111238027159896	1.0	4.0	6.0	7.0	9.0
order	105.0	1.4857142857142858	0.5021929929795941	1.0	1.0	1.0	2.0	2.0
