	mean rt	sem	std
baseline_negative_first	0.35894638851210353	0.0011889849852421358	0.09202160027860926
2.Block_positive_negative_first	0.352784582450565	0.0011561691450195908	0.08701277060578612
1.Block_negative_negative_first	0.3542490646364849	0.0011445168289659876	0.08863172611657069
baseline_positive_first	0.34785092986233807	0.0011672340492038613	0.0961959496632616
1.Block_positive_positive_first	0.33212154464811544	0.000996071864060404	0.08208985932298728
2.Block_negative_positive_first	0.33531487075707805	0.00103411463626931	0.0826839160084377
baseline_incorrect	0.26869985219594594	0.002663916840292039	0.07938293395691842
positive_incorrect	0.26514133606678486	0.0025037260207170695	0.07282357319471565
negative_incorrect	0.268461330581761	0.0027988581618933928	0.07891588923192733
baseline_correct	0.3593481515102152	0.0008473646164351036	0.0924132602939469
positive_correct	0.3470828454726529	0.0007713001983090632	0.0831073726725474
negative_correct	0.3496914921571798	0.0007812795190491189	0.08412824246017976
baseline_negative_first_correct	0.3649721905345262	0.0012037445949078657	0.08976577765368282
2.Block_positive_negative_first_correct	0.3585665419197191	0.0011642251204382358	0.08450863074593097
1.Block_negative_negative_first_correct	0.35986188715649536	0.0011497599059921704	0.08607087604618421
baseline_positive_first_correct	0.354409689325754	0.0011863280026072562	0.09440815835421314
1.Block_positive_positive_first_correct	0.3375405656146507	0.0011642251204382358	0.08450863074593097
2.Block_negative_positive_first_correct	0.3401780730992322	0.0010481782778572998	0.08113062377248076
baseline_negative_first_incorrect	0.28083570075757575	0.004104592429531396	0.08501561207443611
2.Block_positive_negative_first_incorrect	0.27565763449367087	0.004186335276629954	0.08320176803470451
1.Block_negative_negative_first_incorrect	0.274212786259542	0.004338644970765453	0.08601028538298722
baseline_positive_first_incorrect	0.25735719635076254	0.003360403287624786	0.0719942387088375
1.Block_positive_positive_first_incorrect	0.2559308307926829	0.004186335276629954	0.08320176803470451
2.Block_negative_positive_first_incorrect	0.26283863883706465	0.00353917103996647	0.07096015870441112
baseline_positive_first_congruent	0.3753166996502209	0.0016195582694858916	0.09436620006730778
1.Block_positive_positive_first_congruent	0.35397327181516935	0.001276910994530382	0.07440129858140226
2.Block_negative_positive_first_congruent	0.3562688657588309	0.0013501546282680256	0.07636434473775829
baseline_positive_first_incongruent	0.32040133067780396	0.0015438838781213836	0.08998340139565324
1.Block_positive_positive_first_incongruent	0.31028268278996174	0.001434342523602182	0.08359891625865001
2.Block_negative_positive_first_incongruent	0.3143280736341578	0.0014767010496776701	0.0834564754374429
baseline_positive_first_congruent	0.3753166996502209	0.0016195582694858916	0.09436620006730778
1.Block_positive_positive_first_congruent	0.35397327181516935	0.001276910994530382	0.07440129858140226
2.Block_negative_positive_first_congruent	0.3562688657588309	0.0013501546282680256	0.07636434473775829
baseline_positive_first_incongruent	0.32040133067780396	0.0015438838781213836	0.08998340139565324
1.Block_positive_positive_first_incongruent	0.31028268278996174	0.001434342523602182	0.08359891625865001
2.Block_negative_positive_first_incongruent	0.3143280736341578	0.0014767010496776701	0.0834564754374429
baseline_incongruent_correct	0.3994746258763257	0.0010991716504078794	0.08198229063527625
positive_incongruent_correct	0.38168407155464884	0.0009628024754820886	0.07109760103442359
negative_incongruent_correct	0.38403422986377767	0.0010167781989811962	0.07519348048531416
baseline_congruent_correct	0.32408933348799557	0.0010870753583942206	0.08649595699970943
positive_congruent_correct	0.3164379720237128	0.0010312913085806941	0.08092187451943803
negative_congruent_correct	0.3190319373877734	0.0010186202526679283	0.07972615194830332
baseline_incongruent_incorrect	0.261875	0.0025266460609073014	0.07257238291255266
positive_incongruent_incorrect	0.2559148185483871	0.0020345809590390732	0.0566403367851514
