subj	amount	mean_rt	sem	answer	target	condition	amount/trial_num	amount/trial_num_per_block	order
2	23	0.2518257472826087	0.009355443597525935	correct	congruent	test	0.01842948717948718	0.4791666666666667	positive first
2	1	miss	miss	miss	congruent	test	miss	miss	positive first
2	14	0.3514927455357143	0.009709371961352886	correct	incongruent	test	0.011217948717948718	0.2916666666666667	positive first
2	10	0.22626953125	0.011888464717091755	incorrect	incongruent	test	0.008012820512820512	0.20833333333333334	positive first
2	198	0.27735854640151514	0.0036561060433898916	correct	congruent	baseline	0.15865384615384615	0.495	positive first
2	1	0.2978515625		incorrect	congruent	baseline	0.0008012820512820513	0.0025	positive first
2	1	miss	miss	miss	congruent	baseline	miss	miss	positive first
2	151	0.352513193294702	0.0039923293121511055	correct	incongruent	baseline	0.12099358974358974	0.3775	positive first
2	49	0.23134566326530612	0.00390170552063954	incorrect	incongruent	baseline	0.03926282051282051	0.1225	positive first
2	200	0.289248046875	0.004231009817489748	correct	congruent	positive	0.16025641025641027	0.5	positive first
2	161	0.3535944778726708	0.003000074600335698	correct	incongruent	positive	0.12900641025641027	0.4025	positive first
2	39	0.2486728766025641	0.01316582613523955	incorrect	incongruent	positive	0.03125	0.0975	positive first
2	195	0.2984725560897436	0.0039010098486092332	correct	congruent	negative	0.15625	0.4875	positive first
2	5	0.3189453125	0.027208440323795033	incorrect	congruent	negative	0.004006410256410256	0.0125	positive first
2	173	0.3645400559971098	0.0030200639406329386	correct	incongruent	negative	0.13862179487179488	0.4325	positive first
2	27	0.2514105902777778	0.005255418399858721	incorrect	incongruent	negative	0.021634615384615384	0.0675	positive first
3	24	miss	miss	miss	congruent	test	miss	miss	negative first
3	24	miss	miss	miss	incongruent	test	miss	miss	negative first
3	194	0.33135168331185566	0.005801300463976582	correct	congruent	baseline	0.15544871794871795	0.485	negative first
3	3	0.4127604166666667	0.04285516078341755	incorrect	congruent	baseline	0.002403846153846154	0.0075	negative first
3	3	miss	miss	miss	congruent	baseline	miss	miss	negative first
3	167	0.44870415419161674	0.0057724166541320695	correct	incongruent	baseline	0.13381410256410256	0.4175	negative first
3	32	0.307098388671875	0.01944333795443801	incorrect	incongruent	baseline	0.02564102564102564	0.08	negative first
3	1	miss	miss	miss	incongruent	baseline	miss	miss	negative first
3	199	0.3059683181532663	0.004708444218905704	correct	congruent	negative	0.1594551282051282	0.4975	negative first
3	1	0.3701171875		incorrect	congruent	negative	0.0008012820512820513	0.0025	negative first
3	175	0.3914174107142857	0.004520255299676389	correct	incongruent	negative	0.14022435897435898	0.4375	negative first
3	25	0.2599609375	0.005986309538952931	incorrect	incongruent	negative	0.020032051282051284	0.0625	negative first
3	197	0.31226205583756345	0.004961907221237958	correct	congruent	positive	0.1578525641025641	0.4925	negative first
3	3	0.5406901041666666	0.23861742884905052	incorrect	congruent	positive	0.002403846153846154	0.0075	negative first
3	168	0.4061918712797619	0.005797049432399218	correct	incongruent	positive	0.1346153846153846	0.42	negative first
3	31	0.2759891633064516	0.014087073249193956	incorrect	incongruent	positive	0.024839743589743588	0.0775	negative first
3	1	miss	miss	miss	incongruent	positive	miss	miss	negative first
4	24	0.3538411458333333	0.01036045553733133	correct	congruent	test	0.019230769230769232	0.5	positive first
4	22	0.46715198863636365	0.012571712968216213	correct	incongruent	test	0.017628205128205128	0.4583333333333333	positive first
4	2	0.34375	0.0009765625	incorrect	incongruent	test	0.0016025641025641025	0.041666666666666664	positive first
4	200	0.3563720703125	0.005532684187457356	correct	congruent	baseline	0.16025641025641027	0.5	positive first
4	193	0.4424384715025907	0.005175376812037542	correct	incongruent	baseline	0.1546474358974359	0.4825	positive first
4	7	0.37039620535714285	0.10368761207679718	incorrect	incongruent	baseline	0.005608974358974359	0.0175	positive first
4	199	0.3639633715452261	0.0059951456247256145	correct	congruent	positive	0.1594551282051282	0.4975	positive first
4	1	0.404296875		incorrect	congruent	positive	0.0008012820512820513	0.0025	positive first
4	194	0.43585897229381443	0.004517448526055308	correct	incongruent	positive	0.15544871794871795	0.485	positive first
4	6	0.3160807291666667	0.039946592492177746	incorrect	incongruent	positive	0.004807692307692308	0.015	positive first
4	198	0.36418383049242425	0.0058746352783585485	correct	congruent	negative	0.15865384615384615	0.495	positive first
4	2	0.4169921875	0.0341796875	incorrect	congruent	negative	0.0016025641025641025	0.005	positive first
4	192	0.4255625406901042	0.004964948853661156	correct	incongruent	negative	0.15384615384615385	0.48	positive first
4	8	0.4150390625	0.09434123031449383	incorrect	incongruent	negative	0.00641025641025641	0.02	positive first
5	24	0.3151448567708333	0.01933338541396093	correct	congruent	test	0.019230769230769232	0.5	negative first
5	21	0.37411644345238093	0.011474170014761774	correct	incongruent	test	0.016826923076923076	0.4375	negative first
5	3	0.2294921875	0.03251136776601266	incorrect	incongruent	test	0.002403846153846154	0.0625	negative first
5	197	0.3111268638959391	0.005665596870961078	correct	congruent	baseline	0.1578525641025641	0.4925	negative first
5	3	0.3896484375	0.16169213215676187	incorrect	congruent	baseline	0.002403846153846154	0.0075	negative first
5	186	0.3624831989247312	0.003782121577244427	correct	incongruent	baseline	0.14903846153846154	0.465	negative first
5	14	0.24114118303571427	0.006476540413838003	incorrect	incongruent	baseline	0.011217948717948718	0.035	negative first
5	199	0.34304824905778897	0.00552105103393061	correct	congruent	negative	0.1594551282051282	0.4975	negative first
5	1	0.4814453125		incorrect	congruent	negative	0.0008012820512820513	0.0025	negative first
5	193	0.38746255667098445	0.00423622541422659	correct	incongruent	negative	0.1546474358974359	0.4825	negative first
5	7	0.27064732142857145	0.009122291027035092	incorrect	incongruent	negative	0.005608974358974359	0.0175	negative first
5	199	0.3506350109924623	0.007055486488074697	correct	congruent	positive	0.1594551282051282	0.4975	negative first
5	1	0.427734375		incorrect	congruent	positive	0.0008012820512820513	0.0025	negative first
5	192	0.3790740966796875	0.003989138557231925	correct	incongruent	positive	0.15384615384615385	0.48	negative first
5	8	0.2535400390625	0.009205359647226434	incorrect	incongruent	positive	0.00641025641025641	0.02	negative first
6	24	0.3349609375	0.012417651946699387	correct	congruent	test	0.019230769230769232	0.5	positive first
