	s2_baseline_mean	s2_neg_mean	s2_pro_mean	s2_baseline_std	s2_neg_std	s2_pro_std
Erfolg	5.909090909090909	5.818181818181818	6.0	1.6403990645294486	1.6624188291872668	2.1447610589527217
Stolz	5.0	4.818181818181818	5.090909090909091	2.04939015319192	1.8340219092574557	2.165850662190053
Wärme	4.363636363636363	4.454545454545454	4.454545454545454	1.689540012709215	2.2074254852038093	2.1616492020508953
Zuneigung	4.0	4.2727272727272725	4.545454545454546	2.32379000772445	2.412090756622109	2.3393860888547815
Frustration	3.6363636363636362	2.8181818181818183	3.5454545454545454	1.9116865471476894	1.5374122295716146	2.1616492020508953
Enttäuschung	2.6363636363636362	3.090909090909091	3.272727272727273	1.689540012709215	2.0225995873897267	1.9021518914592015
Ärger	2.0	2.5454545454545454	2.3636363636363638	2.0976176963403033	1.634847782739198	1.5015143870590968
Wut	1.5454545454545454	1.6363636363636365	1.2727272727272727	1.0357254813546264	0.8090398349558905	0.6466697906828633
Trauer	1.8181818181818181	1.4545454545454546	1.4545454545454546	1.3280197150781923	0.8201995322647243	0.8201995322647243
Niedergeschlagenheit	1.9090909090909092	1.9090909090909092	1.7272727272727273	1.1361818036340359	0.7006490497453707	0.7862453931068965
Fröhlichkeit	6.363636363636363	5.7272727272727275	6.363636363636363	1.12006493318265	1.2720777563426766	1.12006493318265
Freude	6.545454545454546	6.181818181818182	6.454545454545454	1.1281521496355322	1.3280197150781923	1.0357254813546264
Peinlichkeit	2.1818181818181817	2.8181818181818183	2.5454545454545454	1.60113596038449	2.2723636072680717	2.114882330704778
gleichgueltig vs. interesse	7.7272727272727275	7.2727272727272725	7.636363636363637	0.6466697906828633	1.2720777563426766	0.674199862463242
gelangweilt vs. motiviert	7.636363636363637	7.2727272727272725	7.454545454545454	0.9244162777371753	1.0090499582190258	0.8201995322647244
unangenehm vs. angenehm	7.0	6.545454545454546	6.636363636363637	1.0	1.8090680674665818	1.4333685689819817
negativ vs. positiv	7.363636363636363	7.2727272727272725	7.0	0.9244162777371754	1.0090499582190258	1.61245154965971
entspannt vs. angespannt	4.090909090909091	4.909090909090909	5.0	2.385562636132007	2.662876093795784	2.4083189157584592
ruhig vs. nervoes	4.7272727272727275	4.818181818181818	4.909090909090909	2.2843339988236875	2.3159525823376357	2.119176512447486
Erwartung	6.0	6.0	5.818181818181818	1.7320508075688772	2.32379000772445	2.088931871468374
